id,conversation_id,message_text,sent_at
1,101,"Hi, I need help!",2024-09-15 09:00:00
2,101,"Sure, how can I assist you?",2024-09-15 09:05:00
3,101,"I can't find my order details.",2024-09-15 09:10:00
4,101,"Let me check your order info.",2024-09-15 09:15:00
5,101,"Thanks! That solved the issue.",2024-09-15 09:20:00
6,102,"Thanks, looks good!",2024-10-10 13:30:00
7,102,"Great, I appreciate the quick fix.",2024-10-10 13:35:00
8,103,"Great service!",2024-10-18 16:00:00
9,103,"Thanks, I'll recommend this to others.",2024-10-18 16:05:00
10,104,"Can I get a refund?",2024-11-05 10:15:00
11,104,"Let me check the details for you.",2024-11-05 10:18:00
12,104,"It looks like you're eligible for a refund. I'll process it now.",2024-11-05 10:20:00
13,105,"Where's my order?",2024-11-10 15:00:00
14,105,"I'm checking the status now.",2024-11-10 15:05:00
15,105,"It should be arriving soon. Sorry for the delay!",2024-11-10 15:10:00
16,106,"Great experience!",2024-09-22 11:00:00
17,106,"Happy to hear that, thank you!",2024-09-22 11:05:00
18,107,"Could be better.",2024-09-05 08:15:00
19,107,"What happened with my order?",2024-09-05 08:20:00
20,107,"Sorry for the inconvenience, let me look into it.",2024-09-05 08:25:00
21,108,"How do I track my order?",2024-09-28 17:00:00
22,108,"You can track it via the tracking link we sent via email.",2024-09-28 17:05:00
23,109,"Thanks for the update!",2024-11-28 14:30:00
24,109,"You're welcome! Let me know if you need further assistance.",2024-11-28 14:35:00
25,110,"Need more info.",2024-11-10 13:00:00
26,110,"Sure, what do you need?",2024-11-10 13:05:00
27,111,"I think I was charged incorrectly.",2024-09-20 11:00:00
28,111,"Let's review your billing details.",2024-09-20 11:05:00
29,111,"It looks like the charge was correct, but I can send you a receipt.",2024-09-20 11:10:00
30,112,"Can you confirm my order status?",2024-09-30 09:00:00
31,112,"Checking now, please give me a moment.",2024-09-30 09:02:00
32,112,"Your order is on its way and should arrive within 3 days.",2024-09-30 09:05:00
33,113,"I'm looking for a specific product.",2024-10-02 12:00:00
34,113,"Can you tell me more about your requirements?",2024-10-02 12:05:00
35,113,"I'm looking for a laptop with at least 16GB RAM and a fast processor.",2024-10-02 12:10:00
36,113,"I have a laptop in mind. Would you like me to recommend it?",2024-10-02 12:15:00
37,114,"I need help with my account login.",2024-10-15 10:00:00
38,114,"Please verify your email address, and I'll help you reset your password.",2024-10-15 10:02:00
39,114,"Done. Can you reset it now?",2024-10-15 10:05:00
40,115,"I missed the delivery. Can you reschedule it?",2024-10-25 14:00:00
41,115,"I'll arrange for the delivery to be rescheduled.",2024-10-25 14:05:00
42,116,"I'm not happy with the product I received.",2024-11-05 09:00:00
